global_id,part,index,seed,family,receiver,label,target_visible,initial_state_clean,contact_visible,effect_after_contact,effect_matches,visual_quality,notes
wd000,a,0,8300,liquid,calm shallow pond,pass,yes,yes,yes,yes,yes,yes,"Clear fall and contact; ripples begin afterward. The rebound column is stylized but usable."
wd001,a,1,8301,liquid,glass bowl filled with water,pass,yes,yes,yes,yes,yes,yes,"Bowl is preserved and splash/ripples begin after contact."
wd002,a,2,8302,liquid,ceramic cup filled with water,pass,yes,yes,yes,yes,yes,yes,"Cup and calm initial liquid are visible; contact and later ripple are clear."
wd003,a,3,8303,liquid,metal bucket filled with water,uncertain,yes,yes,yes,yes,yes,uncertain,"Repeated droplets and a stream-like shape weaken the single-droplet assumption."
wd004,a,4,8304,liquid,shallow puddle,uncertain,yes,yes,yes,yes,yes,uncertain,"Temporal chain is present, but the puddle is not clearly recognizable and a droplet-like residue reappears."
wd005,a,5,8305,liquid,aquarium water surface,fail,no,yes,no,yes,uncertain,uncertain,"Surface response appears, but the falling droplet and contact are not clearly shown."
wd006,a,6,8306,hard,ceramic tile,fail,yes,no,yes,no,yes,yes,"A wet puddle is already present before the falling droplet."
wd007,a,7,8307,hard,stainless-steel tray,pass,yes,yes,yes,yes,yes,yes,"Dry tray, visible impact, then a clear splash and retained water."
wd008,a,8,8308,hard,glass tabletop,pass,yes,yes,yes,yes,yes,yes,"Visible fall and contact; the later rebound droplet is consistent with the impact."
wd009,a,9,8309,hard,marble slab,fail,yes,no,yes,no,yes,yes,"A long wet region exists before impact."
wd010,a,10,8310,hard,ceramic plate,pass,yes,yes,yes,yes,yes,yes,"Plate remains stable; the drop and post-contact shallow water response are visible."
wd011,a,11,8311,hard,plastic cutting board,fail,yes,no,uncertain,no,no,no,"Receiver deforms like a membrane and the water motion is temporally inconsistent."
wd012,a,12,8312,absorbent,cotton towel,fail,yes,no,yes,uncertain,no,no,"Droplet is present immediately and forms a metallic-looking puddle instead of absorption."
wd013,a,13,8313,absorbent,cotton cloth,uncertain,yes,no,yes,yes,uncertain,uncertain,"Cause-effect order is readable, but the initial two-second state is missing and the result resembles a surface puddle."
wd014,a,14,8314,absorbent,cardboard,fail,yes,yes,yes,yes,no,no,"Impact creates a tall liquid column rather than a spreading absorbed wet mark."
wd015,b,0,8315,absorbent,kitchen sponge,fail,yes,yes,yes,yes,no,no,"Water remains as a crown-shaped puddle instead of being absorbed."
wd016,b,1,8316,absorbent,unfinished wood,pass,yes,yes,yes,yes,yes,yes,"Long clean initial state, visible contact, then a dark wet mark spreads along the wood."
wd017,b,2,8317,absorbent,tissue paper,fail,yes,no,uncertain,no,no,no,"Droplet repeatedly appears and disappears; the late liquid jet is not a valid absorbed footprint."
wd018,b,3,8318,granular,fine sand,fail,yes,yes,yes,yes,no,no,"The result is a black liquid ring rather than a crater with displaced and darkened sand."
wd019,b,4,8319,granular,dry soil,fail,yes,no,yes,yes,no,no,"No stable two-second start; impact produces a liquid puddle rather than a depression and damp soil."
wd020,b,5,8320,granular,flour,fail,yes,no,yes,yes,no,no,"The model generates a liquid pool and jet instead of displaced powder and a crater."
wd021,b,6,8321,granular,salt pile,fail,yes,no,no,no,no,uncertain,"The droplet floats above the salt and never produces the requested impact footprint."
wd022,b,7,8322,granular,coffee grounds,fail,yes,no,yes,yes,no,uncertain,"Impact is visible, but it creates a surface puddle rather than a depression and damp grounds."
wd023,b,8,8323,granular,chalk dust,fail,yes,yes,yes,yes,no,uncertain,"A wet puddle appears, but there is no crater or displaced dust."
wd024,b,9,8324,flexible,broad leaf,fail,yes,uncertain,yes,yes,no,no,"The receiver is an unrecognizable flat green surface and does not bend or rebound."
wd025,b,10,8325,flexible,flower petal,fail,yes,no,uncertain,no,no,no,"The petal appears only around contact and does not show the requested bending or vibration."
wd026,b,11,8326,flexible,stretched fabric,fail,yes,no,yes,yes,no,no,"Multiple droplets and splashes appear; the fabric does not dip, rebound, or retain a wet spot."
wd027,b,12,8327,flexible,plastic film,fail,yes,yes,yes,yes,no,uncertain,"The water impact is visible, but the film does not flex or rebound."
wd028,b,13,8328,flexible,grass blade,fail,yes,no,no,no,no,uncertain,"The droplet misses the blade and the grass does not bend."
wd029,b,14,8329,flexible,paper strip,fail,yes,yes,no,no,no,uncertain,"The droplet falls beside the strip; the strip does not bend or swing."
