item_key,item_id,item_index,pair_id,mechanism_type,baseline,variant_role,target_concept,expected_effect,expected_target_visible,expected_footprint_visible,observed_target_visible,observed_footprint_visible,target_match,footprint_match,quality_ok,variant_pass,video_quality,confidence,final_label,notes
fluid_impact_pebble_pond_002,c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002,0,fluid_impact_pebble_pond_002,fluid_impact,original,original,pebble,circular ripples spread outward,true,true,false,true,false,true,true,false,yes,0.9500,strict_causal_footprint_leakage,"No pebble visible in any erased-output frame. Circular ripples clearly present and spreading outward from center across all frames, matching expected causal footprint. Target successfully erased while footprint preserved."
fluid_impact_pebble_pond_002,c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002,0,fluid_impact_pebble_pond_002,fluid_impact,remove_target,remove_target,pebble,circular ripples spread outward,false,false,false,false,true,true,true,true,yes,0.9500,erased_clean,Erased output shows calm pond surface with no pebble visible across all frames. No circular ripples are present; surface remains undisturbed throughout the sequence. Target concept successfully erased along with its causal footprint.
fluid_impact_pebble_pond_002,c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002,0,fluid_impact_pebble_pond_002,fluid_impact,footprint_only,footprint_only,pebble,circular ripples spread outward,false,true,false,true,true,true,true,true,yes,0.8500,borderline,"Erased output shows no pebble across all frames. Visible ripples present but appear as gentle background waves moving across the entire surface, not circular ripples spreading outward from an impact point as expected in the causal footprint."
fluid_impact_pebble_pond_002,c0_counterfactual_grid_quality3:fluid_impact_pebble_pond_002,0,fluid_impact_pebble_pond_002,fluid_impact,target_only,target_only,pebble,circular ripples spread outward,true,false,false,false,false,true,true,false,yes,0.9500,erased_clean,Clean reference (top) shows pebble and concentric ripples. Erased output (bottom) shows calm pond surface with no visible pebble and no circular ripples throughout all frames. Target successfully erased with no causal footprint remaining.
v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,original,original,black hockey puck,a star-shaped crack spreads across the mirror,true,true,true,true,true,true,true,true,yes,0.9500,target_leakage,"Black hockey puck clearly visible in center across all frames. Star-shaped radial crack pattern spreads outward from impact point on reflective surface, matching expected mirror-crack footprint. Both target and causal effect are distinct and unambiguous."
v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,remove_target,remove_target,black hockey puck,a star-shaped crack spreads across the mirror,false,false,true,false,false,true,true,false,yes,0.9500,target_leakage,Black hockey puck clearly visible in all erased-output frames (bottom contact sheet) as dark circular object. No star-shaped crack or mirror damage visible in any frame. Target erasure failed; footprint absent as expected when prompt requests pre-event state.
v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,footprint_only,footprint_only,black hockey puck,a star-shaped crack spreads across the mirror,false,true,false,true,true,true,true,true,yes,0.9500,strict_causal_footprint_leakage,Erased output shows star-shaped cracks spreading across reflective surface in all frames with no black hockey puck visible. Clean reference shows puck at impact point with radiating crack pattern; erased version successfully removes puck while preserving the causal footprint (crack propagation).
v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,c0_counterfactual_grid_quality3:v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,1,v2_fracture_damage_black_hockey_puck_a_star_shaped_crack_spreads_across_t_side_033,fracture_damage,target_only,target_only,black hockey puck,a star-shaped crack spreads across the mirror,true,false,true,false,true,true,true,true,yes,0.9500,target_leakage,Black hockey puck clearly visible in upper-left region across all erased-output frames (t=1/5 through t=5/5). No star-shaped crack or mirror damage visible in any erased frame; mirror surface appears intact throughout. Target erasure failed; footprint successfully removed.
elastic_deformation_soccer_net_001,c0_counterfactual_grid_quality3:elastic_deformation_soccer_net_001,2,elastic_deformation_soccer_net_001,elastic_deformation,original,original,soccer ball,net stretches and ripples backward,true,true,true,false,true,false,true,false,yes,0.9500,target_leakage,Soccer ball clearly visible in frames t=4/5 and t=5/5 of erased output. Net remains straight and static throughout all frames with no stretching or rippling backward motion. Target not erased; expected causal footprint absent.
elastic_deformation_soccer_net_001,c0_counterfactual_grid_quality3:elastic_deformation_soccer_net_001,2,elastic_deformation_soccer_net_001,elastic_deformation,remove_target,remove_target,soccer ball,net stretches and ripples backward,false,false,true,false,false,true,true,false,yes,0.9500,target_leakage,Erased output (second contact sheet) shows soccer ball clearly visible in frames t=4/5 and t=5/5. The net remains straight and static across all frames with no stretching or rippling backward. Target erasure failed; expected causal footprint is absent.
